date|numDC_SDP|numDC_AIR|numDC_CCN|numDC_OCC|numCDR_CONFB|numCDR_CONFNB|numCDR_CALLB|numCDR_CALLNB|numCDR_DATOSB|TPS_Voice|TPS_SMS|TPS_CCNGY_SSU|TPS_OCCGY_SSU|TPS_OCCGY_CR|TPS_CCNGY_CR|percentKPDR
2020-06-18|10665|4501|73093|9668|3714745|69288305|38802185|7244993|267255415|298080.98333333334|27467.603333333333|4600790.736666666|795315.95|798570.3033333333|4726122.796666667|106.02
2020-06-19|10712|4770|75333|9771|4055924|71980128|41616698|7673589|274606178|319215.0966666667|28220.31|4732607.1033333335|805718.3733333333|809113.4966666667|4853650.176666667|108.99
2020-06-20|10669|4618|75392|9829|3816463|70760582|39884968|6982650|275110882|309174.33666666667|28947.56333333333|4735669.703333333|805705.4633333334|809272.4|4855734.893333334|108.52
2020-06-21|10667|4128|76163|8445|3282517|66992381|35956533|6602483|271500554|292400.68666666665|24984.85|4780196.943333333|670981.1366666667|674502.9166666666|4907389.27|104.25
2020-06-22|12196|3914|69350|8973|2987936|64931254|29763972|5888557|248806655|239101.73666666666|24057.63|4418775.923333333|762287.0066666667|764915.2433333333|4557084.69|97.25
2020-06-23|10856|5068|71094|9192|4902222|76958989|39127515|7696663|258598939|303166.21|30492.766666666666|4520850.613333333|766019.4366666666|769346.0933333334|4653603.116666666|104.27
2020-06-24|10700|4603|72126|9369|3788371|71360350|38995706|7492609|263653719|303959.43333333335|29941.393333333333|4574052.796666667|770331.18|773567.4266666666|4703264.63|105.22
2020-06-25|10723|4578|74257|8784|3781682|70851431|39055202|7480665|266308223|300965.69|29283.73|4683188.086666667|697576.9366666666|701313.82|4804716.983333333|105.38
2020-06-26|10713|4727|75687|9453|3922512|71261921|40233141|7357766|272089309|308045.36|29839.42|4752009.276666666|781400.4466666667|784439.2033333334|4879362.636666667|107.80
2020-06-27|10728|4748|74701|8824|3975275|71828662|39632062|7113377|270938780|309093.93333333335|26790.763333333332|4715941.456666667|701097.2866666666|706178.1633333333|4809129.12|106.33
2020-06-28|10724|3906|72983|9498|3021821|65830550|31451954|6001407|261586596|252059.59333333332|24252.23|4583672.516666667|798587.68|801290.09|4713056.033333333|101.70
2020-06-29|12270|4095|68620|9237|3239268|66514432|31454096|6198415|247799569|248223.31666666668|24761.87|4378762.696666666|787723.1|790658.7966666666|4515003.68|97.60
2020-06-30|10944|5307|72794|9100|5185621|78331095|41010982|7837216|263219460|318371.0333333333|30389.32|4607886.51|753665.15|757003.27|4738203.093333334|106.10
2020-07-01|14353|4884|70948|8900|5386931|67869108|40629200|7477305|258625628|313969.62666666665|29324.476666666666|4512008.223333334|729636.1133333333|732548.7066666667|4644885.953333333|103.43
2020-07-02|10767|4773|67061|8695|4018308|70870402|40547966|7531781|247331178|311856.38333333336|28850.04|4312506.416666667|702664.2466666667|705628.22|4450740.1466666665|100.34
2020-07-03|10767|4854|64939|8482|4104179|70605039|41925584|7732543|240913685|321328.5466666667|29086.953333333335|4219915.136666667|688782.82|691978.65|4360533.893333334|98.50
2020-07-04|10765|4730|61341|8372|3993890|68178641|39878222|7098658|230656329|306733.63666666666|27809.316666666666|4049536.566666667|677236.0333333333|680174.3466666667|4188337.86|94.38
