FECHA,CODIGO_EMPRESA,CEDULA_ANONIMIZADA,UBICACION_ANONIMIZADA,CODIGO_LOCALIDAD,ID_ESTADO_CIVIL,ID_GENERO,FECHA_NACIMIENTO,EDAD,FECHA_INGRESO,FECHA_INICIO_CONTRATO,ID_CARGO,TIPO_CARGO,NIVEL_CARGO,CATEGORIA_CARGO,TIPO_AREA,ID_CENTRO_COSTO,TIPO_NOMINA,SUBSIDIO_TRANSPORTE,COMPENSACION_VARIABLE,PORCENT_COMP_VARIABLE,SALARIO,TOTAL_SALARIO,INDICADOR_VARIACION_SALARIO,VARIACION_SALARIO,SENAL_SINDICALIZADO,FECHA_FIN_CONTRATO,CAUSA_NOMBRE,TIPO_RETIRO,NUM_DIAS_LABORADOS,NUM_DIAS_CONTRATADOS,RETIRO
2018-02-28,21,1761,5,1502,CASADO,M,1973-10-05,48,2014-01-27,2014-01-27,83941,ESTRATEGICO,4,15,ADMINISTRATIVO,320212,TERMINO_INDEFINIDO,1,0,0,4985000,4985000,1,97700,0,2018-03-01,RENUNCIA,NO_DESEADO,1494,1494,1
2018-02-28,21,1783,7,1504,CASADO,M,1978-07-05,43,2017-02-16,2017-02-16,84011,ESTRATEGICO,4,15,ADMINISTRATIVO,110113,TERMINO_INDEFINIDO,1,0,0,4684100,4684100,1,184100,0,2018-03-01,RENUNCIA,DESEADO,378,378,1
2018-02-28,21,1820,7,1504,SOLTERO,M,1984-08-07,37,2017-01-10,2017-01-10,84315,OPERATIVO,5,13,ADMINISTRATIVO,110190,TERMINO_INDEFINIDO,1,0,0,4819500,4819500,1,94500,0,2018-03-01,RENUNCIA,DESEADO,415,415,1
2018-02-28,21,175,5,1502,SOLTERO,F,1991-12-18,29,2017-02-15,2017-02-15,84059,OPERATIVO,5,12,ADMINISTRATIVO,310115,TERMINO_INDEFINIDO,1,0,0,2570400,2570400,1,50400,0,2018-03-01,RENUNCIA,NO_DESEADO,379,379,1
2018-02-28,21,263,5,1502,SOLTERO,F,1992-04-26,29,2016-06-20,2016-06-20,84075,OPERATIVO,5,13,ADMINISTRATIVO,310117,TERMINO_INDEFINIDO,1,0,0,2891700,2891700,1,56700,0,2018-03-01,RENUNCIA,NO_DESEADO,619,619,1
2018-02-28,21,470,7,1504,SOLTERO,M,1986-10-28,35,2017-10-02,2017-10-02,83946,OPERATIVO,5,12,ADMINISTRATIVO,110109,TERMINO_INDEFINIDO,1,0,0,2142000,2142000,1,42000,0,2018-03-01,RENUNCIA,NO_DESEADO,150,150,1
2018-02-28,21,532,5,1502,SOLTERO,F,1986-10-22,35,2013-04-15,2013-04-15,83941,ESTRATEGICO,4,15,ADMINISTRATIVO,320212,TERMINO_INDEFINIDO,1,0,0,5401900,5401900,1,105900,0,2018-03-01,RENUNCIA,NO_DESEADO,1781,1781,1
2018-02-28,21,548,7,1504,SOLTERO,F,1989-12-20,31,2012-12-01,2012-12-01,84108,ESTRATEGICO,4,15,ADMINISTRATIVO,110290,TERMINO_INDEFINIDO,1,0,0,5140800,5140800,1,100800,0,2018-03-01,RENUNCIA,NO_DESEADO,1916,1916,1
2018-02-28,21,1002,7,1504,SOLTERO,M,1991-10-03,30,2015-01-20,2015-01-20,84135,OPERATIVO,5,12,ADMINISTRATIVO,110120,TERMINO_FIJO,1,0,0,2624000,2624000,1,51500,0,2018-03-01,RENUNCIA,NO_DESEADO,1136,1136,1
2018-03-31,21,1378,5,1502,SOLTERO,F,1990-06-19,31,2015-06-22,2015-06-22,83797,ESTRATEGICO,4,14,ADMINISTRATIVO,110138,TERMINO_INDEFINIDO,1,0,0,3962700,3962700,1,77700,0,2018-04-01,RENUNCIA,NO_DESEADO,1014,1014,1
